Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Charlotte Hornets,60,242.9,42.1,92.3,.456,13.7,38.4,.356,28.5,53.9,.528,15.9,21.5,.737,11.1,34.1,45.1,27.2,8.7,4.8,13.4,20.0,113.8
2,Memphis Grizzlies,60,241.3,42.9,93.5,.459,11.1,32.6,.341,31.8,60.9,.522,16.9,23.0,.734,13.9,35.0,48.9,25.3,10.1,6.3,13.3,19.5,113.8
3,Utah Jazz,58,240.0,40.7,86.0,.473,14.5,40.3,.361,26.2,45.8,.571,17.8,22.8,.783,10.2,35.9,46.1,22.3,7.2,4.9,14.2,18.9,113.7
4,Phoenix Suns,58,240.4,43.2,89.7,.482,11.3,31.3,.360,31.9,58.4,.547,16.0,20.2,.791,10.1,36.1,46.2,27.0,8.5,4.2,12.9,19.2,113.7
5,Minnesota Timberwolves,59,241.7,41.0,91.7,.447,14.4,41.5,.347,26.6,50.2,.529,16.8,22.0,.763,11.9,32.9,44.8,25.1,8.7,5.8,14.5,21.6,113.2
6,Milwaukee Bucks,60,240.8,41.0,89.1,.460,14.2,39.2,.361,26.9,49.8,.539,17.0,22.0,.775,10.2,36.2,46.5,23.4,7.7,4.1,13.6,18.1,113.2
7,Chicago Bulls,59,240.4,42.1,87.1,.483,11.2,29.8,.376,30.8,57.3,.539,17.3,21.2,.817,8.9,34.4,43.4,24.5,7.1,4.5,13.0,18.6,112.6
8,Atlanta Hawks,58,240.0,41.1,87.8,.468,12.7,33.6,.377,28.4,54.3,.523,17.5,21.7,.807,9.9,34.4,44.4,24.4,6.9,4.4,12.4,18.5,112.2
9,San Antonio Spurs,59,241.3,43.4,93.2,.466,11.1,31.4,.354,32.3,61.7,.523,13.8,18.6,.743,11.0,34.3,45.3,28.0,7.7,5.1,12.5,17.8,111.8
10,Los Angeles Lakers,58,243.9,41.4,88.9,.466,12.0,34.4,.349,29.4,54.5,.540,16.1,22.3,.720,9.6,35.2,44.8,24.2,8.0,5.7,14.7,20.1,110.9
11,Brooklyn Nets,59,240.8,41.4,88.7,.467,11.2,31.9,.351,30.2,56.7,.532,16.8,20.9,.806,10.3,34.6,44.8,24.8,7.0,5.3,13.8,19.9,110.8
12,Golden State Warriors,59,240.8,40.3,86.4,.466,14.5,40.1,.362,25.8,46.3,.557,15.5,20.3,.763,9.7,36.1,45.8,27.2,9.3,4.8,15.2,20.3,110.6
13,Denver Nuggets,58,240.9,40.9,86.6,.473,12.9,36.5,.355,28.0,50.1,.559,15.1,19.1,.790,9.2,34.8,43.9,27.1,7.1,3.7,14.4,19.2,109.9
14,Sacramento Kings,60,241.3,40.6,88.9,.456,11.6,33.7,.345,28.9,55.1,.525,17.1,22.4,.765,10.2,33.5,43.7,23.3,7.2,4.6,14.2,19.1,109.9
15,Indiana Pacers,60,242.5,40.7,89.1,.457,11.8,35.2,.335,29.0,53.9,.538,16.1,21.1,.761,11.1,33.4,44.5,24.5,6.9,5.5,14.3,20.4,109.3
16,Boston Celtics,60,243.3,39.7,87.5,.453,12.6,36.6,.344,27.1,50.9,.532,17.0,20.9,.814,10.7,35.9,46.6,23.6,7.2,6.0,14.1,18.7,108.9
17,Miami Heat,59,243.0,39.4,85.6,.460,13.4,35.8,.373,26.0,49.8,.522,16.8,20.7,.812,10.8,34.0,44.8,25.8,7.5,3.2,14.9,20.6,108.9
18,Toronto Raptors,57,242.2,40.3,91.0,.443,12.3,34.8,.354,27.9,56.2,.498,15.8,20.8,.758,13.1,31.7,44.8,22.0,9.2,4.8,12.8,19.8,108.7
19,Houston Rockets,58,240.4,38.7,85.8,.451,13.3,38.6,.343,25.4,47.2,.539,17.9,25.0,.716,9.8,32.6,42.3,23.0,7.2,4.6,17.0,20.3,108.5
20,Portland Trail Blazers,59,240.4,39.1,87.1,.449,13.5,38.0,.356,25.6,49.1,.521,16.5,21.6,.762,10.3,33.8,44.1,22.9,7.6,4.6,13.8,20.0,108.2
21,Philadelphia 76ers,58,241.7,39.3,85.1,.462,10.9,30.7,.355,28.4,54.4,.523,17.9,22.1,.813,8.6,33.8,42.3,23.0,7.6,5.6,12.5,19.2,107.5
22,Washington Wizards,58,241.7,39.9,86.0,.464,10.2,30.9,.328,29.8,55.1,.541,17.0,21.8,.780,9.2,34.6,43.8,24.0,6.3,4.9,13.3,18.8,107.1
23,Los Angeles Clippers,61,240.8,39.7,87.4,.455,12.4,34.2,.363,27.3,53.2,.514,15.0,19.1,.782,8.9,34.9,43.9,23.6,7.6,4.6,14.2,18.6,106.9
24,Cleveland Cavaliers,58,240.0,39.6,84.9,.466,11.7,33.2,.353,27.9,51.7,.540,15.7,20.8,.755,10.3,34.5,44.9,25.3,7.2,4.3,14.8,16.9,106.7
25,Dallas Mavericks,59,241.3,39.1,85.9,.455,12.7,37.0,.343,26.4,48.9,.539,15.8,20.7,.766,9.5,34.2,43.6,23.7,7.0,4.1,12.5,19.8,106.6
26,New Orleans Pelicans,59,240.8,39.0,87.1,.447,10.7,32.7,.328,28.2,54.4,.519,17.7,22.3,.794,11.5,33.6,45.0,24.7,7.5,4.2,14.4,19.8,106.3
27,New York Knicks,59,241.7,37.5,86.5,.434,13.1,37.1,.352,24.5,49.4,.495,16.9,22.5,.752,11.5,34.6,46.1,21.5,6.9,5.1,13.6,19.9,105.1
28,Orlando Magic,60,240.4,38.0,87.7,.433,11.9,36.2,.330,26.0,51.5,.505,15.5,19.7,.787,9.1,34.3,43.4,23.2,6.9,4.7,14.7,19.6,103.3
29,Detroit Pistons,58,240.9,37.3,88.6,.421,11.1,34.6,.320,26.2,54.0,.486,16.9,21.8,.775,10.9,31.9,42.8,22.7,7.7,4.8,14.6,21.5,102.6
30,Oklahoma City Thunder,58,241.3,37.4,89.4,.418,11.8,37.5,.313,25.6,51.9,.493,14.7,19.3,.762,10.6,35.5,46.1,21.4,7.5,4.7,13.5,18.2,101.2