,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Phoenix Suns,27.7,48,10,43,15,8.14,-0.34,7.80,114.1,105.9,+8.2,99.5,.225,.349,.576,,.544,11.6,22.9,.178,,.504,13.0,77.4,.179,,Phoenix Suns Arena,492461,15886
2,Utah Jazz,29.5,36,22,41,17,6.86,-0.42,6.44,116.3,109.3,+7.0,97.8,.265,.468,.592,,.557,12.9,24.3,.207,,.516,11.0,78.0,.156,,Vivint Smart Home Arena,567486,18306
3,Golden State Warriors,27.9,42,17,42,17,6.92,-0.21,6.70,111.8,104.8,+7.0,98.6,.235,.464,.580,,.550,13.8,22.7,.180,,.503,13.5,78.6,.192,,Chase Center,578048,18064
4,Boston Celtics,26.0,34,26,40,20,5.40,-0.52,4.89,111.1,105.6,+5.5,96.6,.239,.418,.563,,.525,12.7,23.8,.194,,.496,12.7,77.3,.180,,TD Garden,574680,18538
5,Memphis Grizzlies,23.9,41,19,39,21,4.85,-0.15,4.71,113.6,108.8,+4.8,99.7,.246,.348,.549,,.519,11.4,29.7,.180,,.523,13.5,77.6,.190,,FedEx Forum,457312,15244
6,Miami Heat,28.2,38,21,38,21,4.47,-0.39,4.09,112.8,108.2,+4.6,95.4,.242,.419,.575,,.538,13.6,25.3,.196,,.521,14.1,77.8,.204,,FTX Arena,510104,19619
7,Cleveland Cavaliers,24.8,35,23,37,21,4.14,-0.06,4.08,110.8,106.5,+4.3,96.3,.245,.391,.567,,.535,13.6,24.1,.185,,.507,12.7,76.0,.159,,Rocket Mortgage Fieldhouse,488294,18085
8,Dallas Mavericks,26.7,35,24,36,23,3.36,-0.22,3.14,111.0,107.5,+3.5,95.5,.241,.430,.561,,.529,11.7,21.4,.184,,.517,12.6,78.4,.179,,American Airlines Center,606383,19561
9,Milwaukee Bucks,28.4,36,24,36,24,3.35,-0.74,2.61,113.5,110.1,+3.4,99.4,.246,.440,.573,,.540,12.1,22.8,.191,,.526,12.0,77.7,.165,,Fiserv Forum,538750,17379
10,Chicago Bulls,26.2,38,21,34,25,2.25,-0.79,1.46,114.1,111.8,+2.3,98.5,.243,.342,.584,,.547,11.9,20.9,.198,,.533,12.0,78.6,.189,,United Center,641618,20697
11,Denver Nuggets,27.6,33,25,33,25,2.09,0.19,2.28,112.6,110.5,+2.1,97.2,.220,.422,.578,,.547,13.1,21.7,.174,,.533,12.0,78.3,.179,,Ball Arena,421218,16201
12,Toronto Raptors,24.6,32,25,32,25,1.77,0.18,1.95,112.2,110.4,+1.8,96.0,.229,.383,.543,,.511,11.3,28.0,.173,,.534,14.7,75.2,.203,,Scotiabank Arena,311611,10745
13,Philadelphia 76ers,26.5,35,23,32,26,1.55,-0.29,1.26,111.3,109.7,+1.6,95.9,.259,.361,.567,,.526,11.6,19.8,.211,,.516,12.1,76.3,.186,,Wells Fargo Center,591310,20390
14,Minnesota Timberwolves,24.1,31,28,32,27,1.46,0.02,1.47,112.1,110.7,+1.4,100.2,.240,.453,.558,,.526,12.5,25.2,.183,,.530,14.4,74.7,.224,,Target Center,437688,15632
15,Atlanta Hawks,26.1,28,30,30,28,0.48,0.25,0.73,115.0,114.5,+0.5,97.6,.247,.382,.577,,.540,11.3,22.8,.199,,.540,11.2,77.5,.174,,State Farm Arena,481111,16037
16,San Antonio Spurs,24.8,23,36,30,29,0.14,0.07,0.21,111.4,111.2,+0.2,99.9,.200,.337,.551,,.526,11.0,23.6,.148,,.528,12.2,75.0,.165,,AT&T Center,423439,14601
17,Brooklyn Nets,29.1,31,28,30,30,0.00,-0.28,-0.28,111.7,111.7,0.0,98.8,.235,.360,.566,,.530,12.4,23.4,.190,,.516,11.6,75.7,.192,,Barclays Center,479506,17125
18,Charlotte Hornets,25.6,29,31,28,32,-0.90,0.08,-0.82,111.7,112.6,-0.9,100.6,.233,.416,.559,,.531,11.6,23.1,.172,,.540,13.3,75.3,.189,,Spectrum Center,476337,17012
19,Los Angeles Clippers,27.6,30,31,29,32,-0.84,0.44,-0.40,108.1,109.0,-0.9,98.5,.219,.392,.558,,.526,12.9,20.1,.171,,.511,12.4,74.4,.165,,Crypto.com Arena,513343,16559
20,Los Angeles Lakers,30.6,27,31,26,32,-1.47,-0.36,-1.82,109.1,110.5,-1.4,100.1,.251,.387,.562,,.534,13.0,21.1,.181,,.526,12.6,76.0,.191,,Crypto.com Arena,578031,18646
21,New York Knicks,26.4,25,34,27,32,-1.51,-0.09,-1.60,109.0,110.5,-1.5,95.7,.260,.428,.545,,.510,12.3,24.9,.196,,.520,11.7,78.0,.187,,Madison Square Garden (IV),547151,18238
22,Indiana Pacers,26.7,20,40,25,35,-2.65,0.56,-2.09,110.9,113.6,-2.7,97.5,.237,.395,.556,,.523,12.7,25.1,.180,,.538,11.9,77.1,.207,,Gainbridge Fieldhouse,435064,14034
23,Washington Wizards,26.0,27,31,24,34,-2.79,0.23,-2.56,109.8,112.6,-2.8,96.8,.254,.360,.560,,.523,12.2,21.2,.198,,.519,10.8,76.6,.200,,Capital One Arena,454055,15135
24,New Orleans Pelicans,25.7,23,36,23,36,-3.20,0.38,-2.83,109.5,112.8,-3.3,96.7,.256,.375,.549,,.509,12.9,25.8,.203,,.541,12.3,78.2,.195,,Smoothie King Center,464717,15491
25,Portland Trail Blazers,26.7,25,34,22,37,-3.86,0.59,-3.27,110.2,114.2,-4.0,97.9,.248,.436,.560,,.526,12.5,22.9,.189,,.551,12.4,78.8,.197,,Moda Center,543975,16999
26,Sacramento Kings,25.6,22,38,21,39,-5.00,0.25,-4.75,109.7,114.7,-5.0,99.6,.252,.380,.557,,.522,12.6,22.5,.192,,.543,11.6,75.4,.175,,Golden 1 Center,433978,13562
27,Oklahoma City Thunder,22.7,18,40,17,41,-6.64,0.26,-6.38,102.8,109.6,-6.8,97.9,.216,.420,.517,,.483,12.1,21.9,.165,,.518,12.0,76.0,.160,,Paycom Center,393651,14059
28,Orlando Magic,23.5,13,47,15,45,-8.63,0.44,-8.20,104.1,112.8,-8.7,99.1,.224,.413,.536,,.501,13.2,20.0,.177,,.533,12.0,76.4,.195,,Amway Center,391334,15051
29,Houston Rockets,24.7,15,43,13,45,-9.66,0.50,-9.16,107.3,116.9,-9.6,100.9,.291,.450,.560,,.528,14.9,22.2,.208,,.557,12.3,75.2,.204,,Toyota Center,402286,15473
30,Detroit Pistons,23.6,13,45,12,46,-10.05,0.43,-9.62,103.4,113.5,-10.1,98.8,.246,.391,.522,,.484,12.9,22.9,.191,,.548,13.6,75.9,.214,,Little Caesars Arena,429376,15335